,T_in (K),P_in (Pa),Conversion,F_in (mol/s),Heat Duty (W),F_out (mol/s),T_out (K),H2,H2O,CO2,CO,CH4
222,562.9813497394114,1118013.9708706366,0.6109609235978318,309,15036210.99637624,400.65340816887476,975.6406113537029,0.41253966658185226,0.4002506948040542,0.06943461616488342,0.0449491581603829,0.07282586428882733
223,566.690334600646,817225.5289196037,0.8467675101183566,309,20009154.40621974,436.02439614695345,1041.6690457082864,0.5013445434664207,0.3266325596140211,0.0643903467282678,0.081275225136364,0.026357325054926432
224,615.0210617789064,939634.9547867947,0.5197697104575809,309,12136389.068043046,386.97472619783713,929.8773083171958,0.3724011782402059,0.4337717455324598,0.07018974959727417,0.03056336268010453,0.0930739639499556
225,529.7454317593993,1060334.7608182668,0.9627589932574949,309,24403116.927053086,453.4231186178242,1151.0656581270148,0.5296228150383484,0.3049551394747732,0.05187749375154597,0.10738457578571162,0.006159975949620854
226,605.9582079964749,804372.5346448766,0.9365791383460872,309,21992308.172253825,449.49614038111304,1095.449382007961,0.5264419896502822,0.30669077164727926,0.05762749449310852,0.09865775207028618,0.010581992139043792
227,591.783298104752,1101382.6989796753,0.7497227560590186,309,17812033.30916497,421.46768303805277,1025.3202136741277,0.4665022634127665,0.3555334874373693,0.06626369969340065,0.06716381733914274,0.044536732117320746
228,534.0909038812788,1185015.2686470225,0.8027009307699771,309,19903248.858582467,429.41440924469657,1052.646081564121,0.4838798752662086,0.34144927499512173,0.06328916956325267,0.07692212345425539,0.034459556721161605
229,585.0386654544706,832537.3709576334,0.7455907669930523,309,17395076.73305725,420.8478846781578,1001.9429962482374,0.46757638843380617,0.3541972678359391,0.06895748435703003,0.06393016772193376,0.04533869165129103
230,528.4937195591929,1030076.6250563548,0.7975182951550965,309,19627507.099745423,428.63701390246445,1038.9459829347088,0.48346557906684884,0.3415467802954075,0.0648325385456951,0.07472622551158759,0.035428876580461004
231,532.6087115444956,1095633.962746154,0.9291728471529499,309,23189967.026326954,448.3851967021425,1116.9479575559783,0.5218077161749304,0.31091160572849597,0.05554814260499229,0.09988549749256052,0.01184703799902093
232,656.2899713085477,1090144.3029798723,0.8959134770124011,309,20624900.23965347,443.3962911810601,1092.40354022165,0.513045851729656,0.31779129949457174,0.05841748352466534,0.09313924318978792,0.017606122061319077
233,595.1924416399057,1065371.858406098,0.7441007653353199,309,17588782.764645237,420.624384429498,1020.5351211369788,0.46480893186420613,0.35687002320985,0.066775250513264,0.06591733512617862,0.04562845928650127
234,687.8984125155171,891441.6822342126,0.8914189657788202,309,19760633.83264739,442.722114496023,1072.1588379858251,0.5136596998932133,0.3169198503554026,0.060623222308273834,0.09040289542321829,0.018394332019892008
235,518.6839531810507,1162364.1885220616,0.6729786122715942,309,17034429.633112095,409.95606146993913,1001.0063224461678,0.4374949193560655,0.37954357134496786,0.06813780528345925,0.054996306924004916,0.059827397091502456
236,520.97987549589,1065968.7089074103,0.9272743613316784,309,23223497.229801867,448.10042382895176,1112.8307528016549,0.5215812806526671,0.3110317324931736,0.05597866078264395,0.09923600350704007,0.012172322564475344
237,551.6209517754722,838198.9605259516,0.5244749150471028,309,12894853.553856313,387.6805068862654,923.7904276833633,0.37543591194174863,0.43108987818572686,0.07104388348152477,0.030436066328988865,0.09199426006201086
238,534.8951533906874,1125333.824333563,0.7233678458337829,309,17940967.514410414,417.5144465042674,1017.0387835386504,0.45683379387674494,0.3635169020553219,0.06700832394312527,0.0629483006590348,0.04969267946577322
239,601.3251654402043,924601.1321297544,0.6531884713178766,309,15242760.800511796,406.98754032688146,976.6815806002054,0.4315750387990995,0.38412895132168645,0.07046470621132064,0.049920588783924226,0.06391071488396924
240,600.967332491011,953772.2975207332,0.5015504320165675,309,11931700.559221836,384.24183443168516,924.03727821969,0.36335196990603547,0.4414423730531628,0.06965972431638663,0.028253773857720956,0.097292158866694
241,655.863149079641,1158003.6544392956,0.9150838930765179,309,21289366.200104482,446.27185359067767,1110.865354391529,0.5176882830027445,0.3142388727223935,0.05632403991726587,0.0974778886186382,0.01427091573895797
242,633.5615526566608,1054982.1221819636,0.9784930795057007,309,23906945.327416748,455.78323155505507,1181.1761064911007,0.5320835025437693,0.30335103177007194,0.049044795442521015,0.11198166545934794,0.0035390047842898615
243,619.27046617047,1143284.7707824835,0.7579302238313756,309,17710912.38309288,422.69880320390627,1031.4881765456807,0.4690464144690416,0.3535076614254728,0.06560476980511003,0.06889039817086544,0.04295075612951024
244,639.6064065339422,1106081.6529987734,0.6071100483381305,309,13964269.356036926,400.0757768799196,973.4559746163144,0.41098349460262873,0.40153657262625353,0.06954877455688357,0.04427824524748759,0.0736529129667465
245,512.4504235517493,1079411.4934792004,0.5966850680111231,309,15291497.77418216,398.5120298308685,967.8955077300257,0.4066862062858272,0.4050981963465521,0.06979765524388955,0.04251403550388956,0.07590390661984159
246,686.6415734243418,977498.6279764008,0.8733917255240276,309,19437880.753016148,440.0180284578041,1069.8701562324964,0.5076352140204262,0.3219031800865489,0.06103274427241459,0.08784878996086795,0.02158007165974229
247,665.8943462703555,1163890.855258712,0.5564623174799104,309,12560053.321553987,392.4786172511866,958.6530021028339,0.38820134907979037,0.42068969248032595,0.06919283261620637,0.03715908498922866,0.08475704083444853
248,685.1098816086619,902672.9364640058,0.7734961059529937,309,16874686.831287697,425.0336855221491,1018.771605044525,0.47659465856699196,0.3469341997147798,0.06712917437690585,0.0693738597955494,0.0399681075457729
249,542.6218208875163,976459.7167717542,0.5871671664488192,309,14577596.533324663,397.0843445965229,957.2031507793612,0.4032953455550938,0.40781234284039386,0.0705886693822422,0.04032911883027024,0.07797452339199999
250,636.329970844648,812798.9965167298,0.8312272268979601,309,18737513.31542227,433.693353663894,1034.193222007296,0.4965655582253041,0.3304869453025026,0.06532508734415814,0.07843598541248356,0.029186423715551614
251,594.2412610468912,1183487.053519868,0.649825524817027,309,15596322.418314304,406.4830983517541,993.972999153919,0.42815634106474243,0.3873189393172904,0.06845936060798989,0.051454835853622184,0.06461052315635508
252,530.2145446719829,1101092.7941348448,0.7986981547916858,309,19738261.644517306,428.8139928479529,1044.8816331355044,0.483239452688902,0.3418451270967316,0.06416011333569877,0.07554741104869919,0.035207895829968465
253,567.3792383838354,1005418.9634678392,0.7706836801801943,309,18473142.068451293,424.6118216562291,1026.1936267087208,0.4746379586393899,0.34871557056704405,0.06625595136467587,0.06988593828133638,0.040504581147553925
254,654.2064329631941,841956.089561818,0.5544641944049375,309,12262269.970308626,392.17889878994066,935.0057425964991,0.38960566151103887,0.4191393271045395,0.07149970495387065,0.034551371382715565,0.08520393504783531
255,548.8483056391045,927956.6433017472,0.6992248860659372,309,16938593.35043635,413.89300253909056,993.3243077715867,0.4495493862868851,0.36922943023655697,0.06943762213601115,0.0572812300455784,0.05450233129496839
256,501.4399254568735,1109376.5128962204,0.9787739283867376,309,25670322.77587406,455.8253588872106,1187.0825692523986,0.5316885488009214,0.3037611946361051,0.04855585424298609,0.11250193455803349,0.003492467761953941
